arm,block_id,chain,token_address,token_symbol,signal_date,entry_date,exit_date,selection_liquidity_usd,virtual_notional_usd,outcome_status,gross_return_pct,base_objective_pct,stress_objective_pct
holder-breadth-positive-daily-v1,block-2,solana,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,BUTTCOIN,2026-06-17,2026-06-18,2026-06-30,1254831.7546057433,1000.0,scored,-20.738429567504312,-22.31573481911098,-24.65196960760879
holder-breadth-positive-daily-v1,block-2,solana,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,CARDS,2026-06-18,2026-06-19,2026-07-01,3242903.244362526,1000.0,scored,-28.024502756997837,-29.456815152133576,-31.578292933371067
holder-breadth-positive-daily-v1,block-2,solana,31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk,GP,2026-06-19,2026-06-20,2026-07-02,558765.9344375583,558.7659344375583,scored,28.613954113970763,26.054536427102736,22.263640129593455
holder-breadth-positive-daily-v1,block-2,bnb,0x6dc200b21894af4660b549b678ea8df22bf7cfac,WARD,2026-06-20,2026-06-21,2026-07-03,376323.9992311295,376.3239992311295,scored,-3.5796962158791135,-5.498460261183114,-8.340448715220095
holder-breadth-positive-daily-v1,block-2,bnb,0x3e17ee3b1895dd1a7cf993a89769c5e029584444,FREEDOM OF MONEY,2026-06-22,2026-06-23,2026-07-05,492798.09133493534,492.79809133493535,scored,-4.818355724493273,-6.712470445575858,-9.517949410596426
holder-breadth-positive-daily-v1,block-2,bnb,0x4d41a5d412f4ef44a35b9f53b06db65ede249493,QAIT,2026-06-22,2026-06-23,2026-07-05,394915.86559372436,394.9158655937244,scored,-64.48559214270753,-65.19232885906764,-66.23911603066135
holder-breadth-positive-daily-v1,block-2,solana,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,2026-06-23,2026-06-24,2026-07-06,10197583.001787996,1000.0,scored,26.738725293597753,24.21662466025516,20.481000732226363
holder-breadth-nonpositive-daily-v1,block-2,bnb,0x02bcc4c181b83a8c0a342bc003389cbecb4bc54d,SLX,2026-06-29,2026-06-30,2026-07-12,450343.55803551595,450.34355803551597,scored,-70.12270441357114,-70.71726259574108,-71.59789588315107
holder-breadth-nonpositive-daily-v1,block-3,base,0xb3d7e0c3c39a1d3f1b304663065a2f83ddf56d8e,AUTONO,2026-07-01,2026-07-02,2026-07-14,731214.2864301313,731.2142864301313,scored,-42.41622368501844,-43.56214083368657,-45.259422640570655
holder-breadth-nonpositive-daily-v1,block-3,solana,8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,WOJAK,2026-07-01,2026-07-02,2026-07-14,320908.39724946563,320.9083972494656,scored,-37.0455226884306,-38.29831678693083,-40.15390000568934
holder-breadth-positive-daily-v1,block-3,solana,8J69rbLTzWWgUJziFY8jeu5tDwEPBwUz4pKBMr5rpump,WOJAK,2026-07-03,2026-07-04,2026-07-16,320908.39724946563,320.9083972494656,scored,-43.1671282292511,-44.298102377489016,-45.97325127293183
holder-breadth-positive-daily-v1,block-3,bnb,0xd82544bf0dfe8385ef8fa34d67e6e4940cc63e16,MYX,2026-07-04,2026-07-05,2026-07-17,538655.0962302611,538.6550962302612,scored,-11.037371265530105,-12.807727577346062,-15.42990105929456
holder-breadth-positive-daily-v1,block-3,solana,31k88G5Mq7ptbRDf3AM13HAq6wRQHXHikR8hik7wPygk,GP,2026-07-05,2026-07-06,2026-07-18,558765.9344375583,558.7659344375583,scored,-21.233593683853304,-22.801045169544622,-25.12268499571305
holder-breadth-positive-daily-v1,block-3,solana,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,BUTTCOIN,2026-07-05,2026-07-06,2026-07-18,1254831.7546057433,1000.0,scored,-38.52010473176042,-39.74355464759839,-41.555674560629754
holder-breadth-positive-daily-v1,block-3,bnb,0x924fa68a0fc644485b8df8abfa0a41c2e7744444,币安人生,2026-07-06,2026-07-07,2026-07-19,6748472.124423728,1000.0,scored,-5.594553009619618,-7.473221404728192,-10.255821954769651
holder-breadth-positive-daily-v1,block-3,solana,CARDSccUMFKoPRZxt5vt3ksUbxEFEcnZ3H2pd3dKxYjp,CARDS,2026-07-06,2026-07-07,2026-07-19,3242903.244362526,1000.0,scored,-14.392836102013028,-16.096418663582966,-18.619689819476136
holder-breadth-nonpositive-daily-v1,block-3,solana,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,2026-07-12,2026-07-13,2026-07-25,10197583.001787996,1000.0,scored,20.705453377641913,18.303414855426837,14.745621617120829
holder-breadth-positive-daily-v1,block-4,solana,pumpCmXqMfrsAkQ5r49WcJnRayYRqmXz6ae8H7H9Dfn,PUMP,2026-07-17,2026-07-18,2026-07-30,10197583.001787996,1000.0,scored,19.385456899926588,17.009686307618033,13.490799965492695
holder-breadth-nonpositive-daily-v1,block-4,bnb,0x924fa68a0fc644485b8df8abfa0a41c2e7744444,币安人生,2026-07-20,2026-07-21,2026-08-02,6748472.124423728,1000.0,scored,-5.127159176919305,-7.0151287092986125,-9.811505692558908
holder-breadth-positive-daily-v1,block-4,solana,Cm6fNnMk7NfzStP9CZpsQA2v3jjzbcYGAxdJySmHpump,BUTTCOIN,2026-07-22,2026-07-23,2026-08-04,1254831.7546057433,1000.0,scored,62.8309275032217,59.5905920459076,54.79115045775011
holder-breadth-positive-daily-v1,block-4,base,0xb20a4bd059f5914a2f8b9c18881c637f79efb7df,ADS,2026-07-27,2026-07-28,2026-08-09,9066263.157459365,1000.0,scored,-1.8793889282500476,-3.8319890885778807,-6.724094099917699
