source_experiment_id,feature_set_version,chain,symbol,token_address,timestamp,holdings_change_1h_pct,price_return_1h_pct,positive_holdings_delta_hours_1h,negative_holdings_delta_hours_1h,accumulation_persistence_1h,distribution_persistence_1h,holdings_velocity_1h_pct_per_hour,holdings_acceleration_1h_pct_per_hour,holder_count_change_1h,accumulation_retention_1h,flow_price_divergence_1h_pct,market_phase_1h,holdings_change_4h_pct,price_return_4h_pct,positive_holdings_delta_hours_4h,negative_holdings_delta_hours_4h,accumulation_persistence_4h,distribution_persistence_4h,holdings_velocity_4h_pct_per_hour,holdings_acceleration_4h_pct_per_hour,holder_count_change_4h,accumulation_retention_4h,flow_price_divergence_4h_pct,market_phase_4h,holdings_change_12h_pct,price_return_12h_pct,positive_holdings_delta_hours_12h,negative_holdings_delta_hours_12h,accumulation_persistence_12h,distribution_persistence_12h,holdings_velocity_12h_pct_per_hour,holdings_acceleration_12h_pct_per_hour,holder_count_change_12h,accumulation_retention_12h,flow_price_divergence_12h_pct,market_phase_12h,holdings_change_24h_pct,price_return_24h_pct,positive_holdings_delta_hours_24h,negative_holdings_delta_hours_24h,accumulation_persistence_24h,distribution_persistence_24h,holdings_velocity_24h_pct_per_hour,holdings_acceleration_24h_pct_per_hour,holder_count_change_24h,accumulation_retention_24h,flow_price_divergence_24h_pct,market_phase_24h
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T21:00:00Z,0.0009242908139084349,-6.725974187528738,1,0,1.0,0.0,0.0009242908139084349,-0.35293196517041103,1,1.0,6.726898478342647,accumulation_divergence,0.35478381745910337,-19.707551058316042,2,0,0.5,0.0,0.08869595436477584,0.003551193733369873,1,1.0,20.062334875775147,accumulation_divergence,,,,,,,,,,,,unavailable,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T22:00:00Z,-0.36862522773316586,-0.6193362140940462,0,1,0.0,1.0,-0.36862522773316586,-0.3695495185470743,0,,0.2507109863608803,markdown,-0.015149232929134726,-13.517521524850517,2,1,0.5,0.25,-0.0037873082322836815,-0.08778992805683061,1,0.0,13.502372291921382,markdown,,,,,,,,,,,,unavailable,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T23:00:00Z,-0.32374046328657036,-7.355755304219991,0,1,0.0,1.0,-0.32374046328657036,0.044884764446595504,0,,7.032014840933421,markdown,-0.33884065201884583,-13.259651897468272,2,2,0.5,0.5,-0.08471016300471146,-0.08471016300471146,1,0.0,12.920811245449427,markdown,0.0005843702584495958,-9.319186917810306,4,2,0.3333333333333333,0.16666666666666666,4.8697521537466315e-05,,2,0.0008389239690236274,9.319771288068756,accumulation_divergence,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T00:00:00Z,0.0,-8.19067605859547,0,0,0.0,0.0,0.0,0.32374046328657036,0,,8.19067605859547,flat,-0.6902543996278654,-21.156145223981916,1,2,0.25,0.5,-0.17256359990696635,-0.2610276639030462,1,0.0,20.46589082435405,markdown,0.0005843702584495958,-17.25969890544816,4,2,0.3333333333333333,0.16666666666666666,4.8697521537466315e-05,,2,0.0008389239690236274,17.260283275706612,accumulation_divergence,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T01:00:00Z,0.0,-0.5363056585797388,0,0,0.0,0.0,0.0,0.0,0,,0.5363056585797388,flat,-0.6911723019996874,-15.924063491074724,0,2,0.0,0.5,-0.17279307549992184,-0.2614890298646977,0,,15.232891189075037,markdown,0.0005843702584495958,-22.41619728601959,4,2,0.3333333333333333,0.16666666666666666,4.8697521537466315e-05,,2,0.0008389239690236274,22.41678165627804,accumulation_divergence,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T02:00:00Z,0.0,14.267044370289739,0,0,0.0,0.0,0.0,0.0,0,,-14.267044370289739,flat,-0.32374046328657036,-3.330201252876952,0,1,0.0,0.25,-0.08093511582164259,-0.07714780758935891,0,,3.0064607895903817,markdown,-0.003968712819557574,-21.316185334165272,3,2,0.25,0.16666666666666666,-0.0003307260682964645,,2,0.0,21.312216621345716,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T03:00:00Z,0.0,2.848301248185514,0,0,0.0,0.0,0.0,0.0,0,,-2.848301248185514,flat,0.0,7.317239357864347,0,0,0.0,0.0,0.0,0.08471016300471146,0,,-7.317239357864347,flat,-0.33884065201884583,-29.023225145701183,2,2,0.16666666666666666,0.16666666666666666,-0.028236721001570486,,1,0.0,28.684384493682337,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T04:00:00Z,9.877590567697325e-06,1.3742476896618783,1,0,1.0,0.0,9.877590567697325e-06,9.877590567697325e-06,0,1.0,-1.3742378120713106,markup,9.877590567697325e-06,18.49781631088261,1,0,0.25,0.0,2.4693976419243313e-06,0.17256606930460827,0,1.0,-18.49780643329204,markup,-0.33883080789757214,-19.22925937861837,3,2,0.25,0.16666666666666666,-0.028235900658131013,,1,0.0,18.890428570720797,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T05:00:00Z,0.022755591587975132,2.1659608912153905,1,0,1.0,0.0,0.022755591587975132,0.022745713997407435,0,1.0,-2.1432052996274154,markup,0.022765471426233752,21.71720894817497,2,0,0.5,0.0,0.005691367856558438,0.17848444335648028,0,1.0,-21.694443476748738,markup,-0.3161523192644178,-17.832816064206913,4,2,0.3333333333333333,0.16666666666666666,-0.02634602660536815,,1,0.0,17.516663744942495,markdown,,,,,,,,,,,,unavailable
2026-08-16-seven-token-pilot,community-signals-v1,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T06:00:00Z,0.0,-10.563561738561834,0,0,0.0,0.0,0.0,-0.022755591587975132,0,,10.563561738561834,flat,0.022765471426233752,-4.732342527637434,2,0,0.5,0.0,0.005691367856558438,0.08662648367820103,0,1.0,4.755107999063668,accumulation_divergence,-0.3161523192644178,-20.35391582912245,4,2,0.3333333333333333,0.16666666666666666,-0.02634602660536815,,1,0.0,20.03776350985803,markdown,,,,,,,,,,,,unavailable
