chain,token_symbol,token_address,price_usd,price_change_pct,netflow_usd,market_cap_usd,flow_mcap_ratio,bucket,volume_usd,liquidity_usd,token_age_days
bnb,ESPORTS,0xf39e4b21c84e737df08e2c3b32541d856f508e48,0.0153272420590006,-2.58302464948332,6411.120762617339,2342359.398126,0.002737035472757316,early,6411.120762617339,344058.3778904098,418.0
base,KRATOS,0xadf180eee0ca21d89471571d327e222d0ed60384,0.00657703216391154,-6.057725652102421,5599.313056567322,6577032.16391154,0.0008513434201053471,early,5599.313056567322,122016.50027150496,269.0
solana,CLAW,739dnZEG4yaBWFsY8L8ZwrfhGG6dhtCSercW8Umspump,0.0030614846889232116,19.428164553313255,5192.203436020872,3148021.84286516,0.0016493543231883066,momentum,5192.203436020872,88979.6797750816,173.0
bnb,龙虾,0xeccbb861c0dda7efd964010085488b69317e4444,0.0204483861767335,2.620077887967306,5032.734433688634,20307811.15,0.00024782259380468167,early,5295.627495976532,642813.1136441126,170.0
solana,SPACEX,PreANxuXjsy2pvisWWMNB6YaJNzr7681wJJr2rHsfTh,511.6501474099467,-1.949361100032209,4997.810305977949,4473396.0,0.0011172295736791352,early,4997.810305977949,325792.1990274255,337.0
base,ESBUILD,0xadfcd749636648e3b3963dc5e9af4c3fd45bc697,0.00344038203136027,-11.134736494990024,4681.157082558799,3440382.03136027,0.0013606503696067574,early,6473.723360727257,82362.37236834002,145.0
bnb,XAUT,0x21caef8a43163eea865baee23b9c2e327696a3bf,4374.65699249818,0.39166247400651744,4431.1106841958535,118420208.169464,3.7418534831949954e-05,early,42564.71342778044,2640829.398630041,152.0
bnb,LIGHT,0x477c2c0459004e3354ba427fa285d7c053203c0e,0.183733636079356,6.835801616326656,4017.7875924171467,7790824.85365485,0.0005157076006569847,middle,4017.7875924171467,655061.6870682474,326.0
base,ANT-DESIGN,0xadf0bed4f5f90354ba5bd0a9b05d50029eb30cf5,0.0119997019014523,10.076512511946575,3766.01326765135,11681091.7888469,0.0003224025061807268,middle,3766.01326765135,150009.31150457452,247.0
base,FISH-SPEECH,0xadf2102dc0cef14d3f1395fb233bb7e9c80642d3,0.0207006360162814,-1.425497058236059,3607.1250004833864,20685572.2639782,0.00017437878703335777,early,5294.030458452319,199922.30614507286,158.0
bnb,POWER,0x9dc44ae5be187eca9e2a67e33f27a4c91cea1223,0.0834499478253837,-0.3516595325833999,3450.2665655976352,17459543.64,0.00019761493408642353,early,3450.2665655976352,235173.87262267518,297.0
base,SPOTUBE,0xadfe990d271d83a0829323131b95828542454908,0.00107833669706602,13.359134370527995,3256.6896197502697,1117323.50535588,0.002914723984718265,middle,3409.8980045872627,45627.03132945197,157.0
bnb,IDOL,0x3b4de3c7855c03bb9f50ea252cd2c9fa1125ab07,0.0169597682102942,0.5686237813828771,3193.7414028770067,34323022.0792783,9.304953962096337e-05,early,3193.7414028770067,513335.7644305327,433.0
bnb,LYN,0x302dfaf2cdbe51a18d97186a7384e87cf599877d,0.035729712103060994,-0.792781229672779,2671.596731566811,7484995.80136,0.00035692695125912966,early,2671.596731566811,39052.83742285415,319.0
base,GFPGAN,0xadf4d22a0abe1da8299c83ea227e97566b27fefb,0.00302097150802475,43.112146458448166,2598.2433379904674,3031698.7615591,0.0008570255630062266,momentum,4119.049308749072,76404.04725478645,145.0
base,PARALLEL-HASHMAP,0xadf3bb8fa4f8b40940fc8cc21ed9a0e6d65717d1,0.0117449391008285,-1.0815576072444726,2486.8127997343636,11744939.1008285,0.0002117348398646819,early,5502.881435686973,151476.89755541473,255.0
bnb,SUMMER,0xeeb3d73d4dd44e6e4d957d89492f05d5ccee7777,0.00117992291050735,-10.276640563120047,2440.385582817391,1249466.93395561,0.001953141388937381,early,2440.385582817391,69438.10330118352,15.0
