experiment_id,cohort_role,chain,symbol,address,timestamp,source_bucket_start,source_bucket_end,price_usd,token_amount,value_usd,holders_count,holdings_delta_tokens,holdings_delta_pct,holdings_delta_notional_usd,selection_market_cap_usd,selection_liquidity_usd,selection_token_age_days,selection_netflow_usd,selection_flow_mcap_ratio,trailing_price_return_1h_pct,trailing_holdings_change_1h_pct,trailing_price_return_4h_pct,trailing_holdings_change_4h_pct,trailing_price_return_12h_pct,trailing_holdings_change_12h_pct,trailing_price_return_24h_pct,trailing_holdings_change_24h_pct,event_type,forward_1h_available,forward_price_return_1h_pct,mfe_1h_pct,mae_1h_pct,forward_4h_available,forward_price_return_4h_pct,mfe_4h_pct,mae_4h_pct,forward_12h_available,forward_price_return_12h_pct,mfe_12h_pct,mae_12h_pct,forward_24h_available,forward_price_return_24h_pct,mfe_24h_pct,mae_24h_pct
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T14:00:00Z,2026-08-12T13:00:00Z,2026-08-12T14:00:00Z,0.012595556872726999,150871797.512334,1900314.3060571551,151,6869.27814000845,0.004553263783975676,86.52238348705676,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,12.669573339631102,0.004553263783968475,,,,,,,accumulation,True,14.016122748891458,14.016122748891458,14.016122748891458,True,-5.883349040472874,14.016122748891458,-5.883349040472874,True,-21.316185334165272,14.016122748891458,-31.14041314409539,True,-11.828810056072802,14.016122748891458,-32.22593527389724
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T15:00:00Z,2026-08-12T14:00:00Z,2026-08-12T15:00:00Z,0.014360965584914849,151378742.56228098,2173944.912224602,152,506945.0499469936,0.3360104792981936,7280.220415731714,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,14.016122748891458,0.3360104792981877,37.10984392689261,0.3405790425256239,,,,,accumulation,True,-10.918024287766205,-10.918024287766205,-10.918024287766205,True,-23.752500047502025,-10.535296552972827,-23.752500047502025,True,-29.023225145701183,-10.535296552972827,-39.605395100515196,True,-25.892265774931154,-10.535296552972827,-40.557472844987
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T20:00:00Z,2026-08-12T19:00:00Z,2026-08-12T20:00:00Z,0.011059852895255,151914405.713068,1680150.979856618,152,535663.1507870257,0.3538562559843173,5924.355649113302,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,1.0043552583606896,0.35385625598431947,-13.547836010710446,0.35385625598431947,,,,,accumulation,True,-6.725974187528738,-6.725974187528738,-6.725974187528738,True,-21.156145223981916,-6.725974187528738,-21.156145223981916,True,-14.028962950549317,-4.548134520948366,-21.57898927858809,True,-12.176368650967762,0.4141056841013402,-22.815240416104476
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T21:00:00Z,2026-08-12T20:00:00Z,2026-08-12T21:00:00Z,0.0103159700443415,151915809.84396502,1567158.9436122226,153,1404.1308970153332,0.000924290813912289,14.484972271944537,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-6.725974187528738,0.0009242908139084349,-19.707551058316042,0.35478381745910337,,,,,accumulation,True,-0.6193362140940462,-0.6193362140940462,-0.6193362140940462,True,-15.924063491074724,-0.6193362140940462,-15.924063491074724,True,-4.389871123116739,2.3348833157035065,-15.924063491074724,True,-4.125553738343635,7.654949820634216,-17.249460488521674
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T22:00:00Z,2026-08-12T21:00:00Z,2026-08-12T22:00:00Z,0.0102520795060218,151355809.84396502,1551711.7962186458,153,-560000.0,-0.36862522773316636,-5741.164523372208,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-0.6193362140940462,-0.36862522773316586,-13.517521524850517,-0.015149232929134726,,,,,distribution,True,-7.355755304219991,-7.355755304219991,-7.355755304219991,True,-3.330201252876952,-3.330201252876952,-15.400105708643075,True,-5.291588160903471,2.972630104546048,-15.400105708643075,True,-3.0082907817328697,8.325851045383859,-16.73376252572998
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T23:00:00Z,2026-08-12T22:00:00Z,2026-08-12T23:00:00Z,0.00949796162396475,150865809.84396502,1432917.672266343,153,-490000.0,-0.3237404632865751,-4654.001195742728,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-7.355755304219991,-0.32374046328657036,-13.259651897468272,-0.33884065201884583,-9.319186917810306,0.0005843702584495958,,,distribution,True,-8.19067605859547,-8.19067605859547,-8.19067605859547,True,7.317239357864347,7.317239357864347,-8.683054657997024,True,-3.1958948405299226,11.1484371670165,-8.683054657997024,True,5.580700794920013,16.92669242552327,-10.122600980023055
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T04:00:00Z,2026-08-13T03:00:00Z,2026-08-13T04:00:00Z,0.01033302659287915,150865824.74587202,1558900.5790557407,153,14.901906996965408,9.87759056367901e-06,0.15398180128425545,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,1.3742476896618783,9.877590567697325e-06,18.49781631088261,9.877590567697325e-06,-19.22925937861837,-0.33883080789757214,,,accumulation,True,2.1659608912153905,2.1659608912153905,2.1659608912153905,True,-7.9817501220126434,2.1659608912153905,-8.80500069773028,True,-2.8762684084512657,7.47724565424801,-17.38605537492862,True,-5.720934131473099,7.47724565424801,-17.38605537492862
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T05:00:00Z,2026-08-13T04:00:00Z,2026-08-13T05:00:00Z,0.0105568359077598,150900155.15679702,1593028.1764457994,153,34330.410925000906,0.022755591587975098,362.4205147811989,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,2.1659608912153905,0.022755591587975132,21.71720894817497,0.022765471426233752,-17.832816064206913,-0.3161523192644178,,,accumulation,True,-10.563561738561834,-10.563561738561834,-10.563561738561834,True,-6.571321743802983,-6.571321743802983,-10.738372637269444,True,-6.46426436730666,5.19868331555946,-19.13750538397293,True,-4.507726142990531,5.19868331555946,-19.13750538397293
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T08:00:00Z,2026-08-13T07:00:00Z,2026-08-13T08:00:00Z,0.00950827023019442,150888070.47563902,1434684.5485949952,154,-12084.681158006191,-0.00800839544893063,-114.9044140960617,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,0.9027365338190707,-0.008008395448932948,-7.9817501220126434,0.014745373781277493,-14.028962950549317,-0.6756009955813602,,,distribution,True,3.731930367043268,3.731930367043268,3.731930367043268,True,-10.220043595032212,3.731930367043268,-10.220043595032212,True,2.154905143828789,16.799923707263176,-10.220043595032212,True,13.07229632971647,20.056647610372824,-10.220043595032212
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-13T17:00:00Z,2026-08-13T16:00:00Z,2026-08-13T17:00:00Z,0.00987441412585945,150788470.47563902,1488947.8028813903,154,-99600.0,-0.06600919455463544,-983.4916469356011,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-1.6083077535671508,-0.06600919455463927,11.149825696412762,-0.06600919455463927,-6.46426436730666,-0.07401230372623413,-23.1443200569877,-0.3899306313758788,distribution,True,-1.560078723296665,-1.560078723296665,-1.560078723296665,True,0.16168078903537886,0.16168078903537886,-1.6330051518007815,True,2.0917547834330197,5.695001722507809,-1.6330051518007815,True,-7.121898197483345,15.604939580280508,-19.059340558375805
