experiment_id,cohort_role,chain,symbol,address,timestamp,price_usd,token_amount,value_usd,holders_count,holdings_delta_tokens,holdings_delta_pct,holdings_delta_notional_usd,selection_market_cap_usd,selection_liquidity_usd,selection_token_age_days,selection_netflow_usd,selection_flow_mcap_ratio,trailing_price_return_1h_pct,trailing_holdings_change_1h_pct,trailing_price_return_4h_pct,trailing_holdings_change_4h_pct,trailing_price_return_12h_pct,trailing_holdings_change_12h_pct,trailing_price_return_24h_pct,trailing_holdings_change_24h_pct
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T10:00:00Z,0.0104740587353977,150864928.23419398,1580168.1194365073,151,,,,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,,,,,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T11:00:00Z,0.010539016947994001,150864928.23419398,1589968.0355180693,151,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,0.6201818629942402,0.0,,,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T12:00:00Z,0.0111791999378208,150864928.23419398,1686549.1963350407,151,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,6.074408960397881,0.0,,,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T13:00:00Z,0.012595556872726999,150871797.512334,1900314.3060571551,151,6869.27814000845,0.004553263783975676,86.52238348705676,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,12.669573339631102,0.004553263783968475,,,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T14:00:00Z,0.014360965584914849,151378742.56228098,2173944.912224602,152,506945.0499469936,0.3360104792981936,7280.220415731714,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,14.016122748891458,0.3360104792981877,37.10984392689261,0.3405790425256239,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T15:00:00Z,0.0127930318743961,151378742.56228098,1936593.078705263,152,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-10.918024287766205,0.0,21.387335626508587,0.3405790425256239,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T16:00:00Z,0.0128479952726737,151378742.56228098,1944913.368823475,152,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,0.42963543605016863,0.0,14.927681266412751,0.3405790425256239,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T17:00:00Z,0.0118545162983132,151378742.56228098,1794521.770922718,152,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-7.732560242091024,0.0,-5.883349040472874,0.3360104792981877,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T18:00:00Z,0.0109498772275362,151378742.56228098,1657578.6459157858,152,0.0,0.0,0.0,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,-7.631176574498633,0.0,-23.752500047502025,0.0,,,,
2026-08-16-seven-token-pilot,early,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-12T19:00:00Z,0.011059852895255,151914405.713068,1680150.979856618,152,535663.1507870257,0.3538562559843173,5924.355649113302,7883698.08513757,123110.38460183535,158.0,8786.022479232748,0.0011144544583456652,1.0043552583606896,0.35385625598431947,-13.547836010710446,0.35385625598431947,,,,
