evaluation_id,theory_id,theory_role,block_id,chain,symbol,token_address,signal_timestamp,entry_timestamp,exit_timestamp,holding_period_hours,gross_return_pct,gross_objective_pct,base_objective_pct,stress_objective_pct
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,2026-08-14T04:00:00Z,2026-08-14T05:00:00Z,2026-08-14T09:00:00Z,4,-10.649268895052,-10.649268895052,-12.427348444040465,-15.060961243358816
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,2026-08-14T09:00:00Z,2026-08-14T10:00:00Z,2026-08-14T14:00:00Z,4,16.144702534364,16.144702534364,13.833422953930153,10.41005784672977
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,ethereum,CDXR,0x40aaf75454036bed56f3266ccf18f6b7befd6aca,2026-08-13T22:00:00Z,2026-08-13T23:00:00Z,2026-08-14T03:00:00Z,4,-0.05329198779,-0.05329198779,-2.042231477232981,-4.988160695892885
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,CATE,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,2026-08-13T12:00:00Z,2026-08-13T13:00:00Z,2026-08-13T17:00:00Z,4,28.361717790673,28.361717790673,25.8073196066386,22.02385797475852
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,CATE,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,2026-08-13T19:00:00Z,2026-08-13T20:00:00Z,2026-08-14T00:00:00Z,4,-5.794203580968,-5.794203580968,-7.668898929706747,-10.445614779157719
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,CATE,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,2026-08-14T01:00:00Z,2026-08-14T02:00:00Z,2026-08-14T06:00:00Z,4,-6.376831468261,-6.376831468261,-8.239932522042604,-10.999475414515626
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,CATE,Ai66LHZG9MCzg1WKdawwqduVAXpNDUuV8M3uyq5ppump,2026-08-14T10:00:00Z,2026-08-14T11:00:00Z,2026-08-14T15:00:00Z,4,-4.496156549106,-4.496156549106,-6.396683033778794,-9.211658819493895
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,TOAD,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,2026-08-13T12:00:00Z,2026-08-13T13:00:00Z,2026-08-13T17:00:00Z,4,14.556036243907,14.556036243907,12.276371122653252,8.899831954364101
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,TOAD,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,2026-08-13T18:00:00Z,2026-08-13T19:00:00Z,2026-08-13T23:00:00Z,4,8.977609869283,8.977609869283,6.808955432884267,3.596840381987132
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,solana,TOAD,A13oRB9FFaiUjfi6LdCg6p9ka1u8SfGkUFs4SKvPpump,2026-08-14T03:00:00Z,2026-08-14T04:00:00Z,2026-08-14T08:00:00Z,4,-8.750366945852,-8.750366945852,-10.566234643629546,-13.255817577900563
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-14T14:00:00Z,2026-08-14T15:00:00Z,2026-08-14T19:00:00Z,4,35.970864482124,35.970864482124,33.265044278929714,29.257303048319105
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-15T03:00:00Z,2026-08-15T04:00:00Z,2026-08-15T08:00:00Z,4,12.060156744871,12.060156744871,9.830159625648061,6.527186505592986
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,AI-HEDGE-FUND,0xadf4d5b9d7e54e3e85b667ed613a285bce36b821,2026-08-15T09:00:00Z,2026-08-15T10:00:00Z,2026-08-15T14:00:00Z,4,0.13957871157,0.13957871157,-1.853198904790243,-4.8048129873137775
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,CHEAT.SH,0xadfd54cb2997d3a0077f0aafbd8ebbf9ac10b99c,2026-08-14T20:00:00Z,2026-08-14T21:00:00Z,2026-08-15T01:00:00Z,4,35.898057365696,35.898057365696,33.19368602411865,29.18809078326474
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,CHEAT.SH,0xadfd54cb2997d3a0077f0aafbd8ebbf9ac10b99c,2026-08-15T03:00:00Z,2026-08-15T04:00:00Z,2026-08-15T08:00:00Z,4,-8.562476150422,-8.562476150422,-10.382082875028608,-13.077203890494914
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,CHEAT.SH,0xadfd54cb2997d3a0077f0aafbd8ebbf9ac10b99c,2026-08-15T08:00:00Z,2026-08-15T09:00:00Z,2026-08-15T13:00:00Z,4,20.902328564744,20.902328564744,18.496372226305603,14.932776091859768
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,MONGO,0xadf9afd4fa1dfef7a06a7cd56140af14a4dc2860,2026-08-14T12:00:00Z,2026-08-14T13:00:00Z,2026-08-14T17:00:00Z,4,7.952859890668,7.952859890668,5.804597978843717,2.622687433566262
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,MONGO,0xadf9afd4fa1dfef7a06a7cd56140af14a4dc2860,2026-08-14T19:00:00Z,2026-08-14T20:00:00Z,2026-08-15T00:00:00Z,4,1.97721551851,1.97721551851,-0.05213107030834774,-3.0579094977164267
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,MONGO,0xadf9afd4fa1dfef7a06a7cd56140af14a4dc2860,2026-08-15T00:00:00Z,2026-08-15T01:00:00Z,2026-08-15T05:00:00Z,4,-16.353785551347,-16.353785551347,-18.018345218875197,-20.483817389749237
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,MONGO,0xadf9afd4fa1dfef7a06a7cd56140af14a4dc2860,2026-08-15T08:00:00Z,2026-08-15T09:00:00Z,2026-08-15T13:00:00Z,4,-5.2141661404,-5.2141661404,-7.100404234206037,-9.89421668721775
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,2026-08-14T18:00:00Z,2026-08-14T19:00:00Z,2026-08-14T23:00:00Z,4,-6.928688598424,-6.928688598424,-8.780807695315362,-11.524084598876827
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,2026-08-14T23:00:00Z,2026-08-15T00:00:00Z,2026-08-15T04:00:00Z,4,-13.758657095848,-13.758657095848,-15.47485981964063,-18.01682340174051
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,base,PRISMA,0xadf0d31463cb2f2a88dbf0bcb22964a7d5960c25,2026-08-15T09:00:00Z,2026-08-15T10:00:00Z,2026-08-15T14:00:00Z,4,33.073390322335,33.073390322335,30.42522985492053,26.502891675169703
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,ethereum,CDXR,0x40aaf75454036bed56f3266ccf18f6b7befd6aca,2026-08-14T12:00:00Z,2026-08-14T13:00:00Z,2026-08-14T17:00:00Z,4,0.038256597908,0.038256597908,-1.952504708390379,-4.90113232161371
