evaluation_id,theory_id,theory_role,block_id,event_count,token_count,event_mean_gross_objective_pct,event_median_gross_objective_pct,event_mean_base_objective_pct,event_median_base_objective_pct,event_mean_stress_objective_pct,event_median_stress_objective_pct,event_win_rate_base,token_equal_mean_gross_objective_pct,token_equal_mean_base_objective_pct,token_equal_mean_stress_objective_pct,max_token_positive_pnl_contribution,gate_status,gate_reason_codes
2026-08-17-paper-strategy-feasibility,breadth-acceleration-inflection-v1,entry,all,3,2,6.7488625921563345,12.699235364219,4.624560226572417,10.45652058047104,1.4781375016686162,7.1347106181106845,0.6666666666666666,0.855598941943251,-1.1514274770014268,-4.124146255815197,1.0,ineligible,insufficient_events;insufficient_tokens;nonpositive_token_equal_mean_base
2026-08-17-paper-strategy-feasibility,breadth-acceleration-inflection-v1,entry,chronological-block-1,1,1,-16.824192008696,-16.824192008696,-18.479390587722953,-18.479390587722953,-20.930997528266637,-20.930997528266637,0.0,-16.824192008696,-18.479390587722953,-20.930997528266637,,not_applicable,
2026-08-17-paper-strategy-feasibility,breadth-acceleration-inflection-v1,entry,chronological-block-2,1,1,24.371544420946,24.371544420946,21.896550686969164,21.896550686969164,18.2306994151618,18.2306994151618,1.0,24.371544420946,21.896550686969164,18.2306994151618,1.0,not_applicable,
2026-08-17-paper-strategy-feasibility,breadth-acceleration-inflection-v1,entry,chronological-block-3,1,1,12.699235364219,12.699235364219,10.45652058047104,10.45652058047104,7.1347106181106845,7.1347106181106845,1.0,12.699235364219,10.45652058047104,7.1347106181106845,1.0,not_applicable,
2026-08-17-paper-strategy-feasibility,distribution-risk-off-veto-v1,veto,all,3,3,2.485455131085667,3.419146216225,0.485455131085667,1.4191462162250001,-2.5145448689143333,-1.5808537837749999,0.6666666666666666,2.485455131085667,0.485455131085667,-2.5145448689143333,0.8219851614215605,eligible,
2026-08-17-paper-strategy-feasibility,distribution-risk-off-veto-v1,veto,chronological-block-1,3,3,2.485455131085667,3.419146216225,0.485455131085667,1.4191462162250001,-2.5145448689143333,-1.5808537837749999,0.6666666666666666,2.485455131085667,0.485455131085667,-2.5145448689143333,0.8219851614215605,not_applicable,
2026-08-17-paper-strategy-feasibility,distribution-risk-off-veto-v1,veto,chronological-block-2,0,0,,,,,,,,,,,,not_applicable,
2026-08-17-paper-strategy-feasibility,distribution-risk-off-veto-v1,veto,chronological-block-3,0,0,,,,,,,,,,,,not_applicable,
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,all,56,7,3.990167919702375,0.685887276623,1.9207635781002943,-1.3177618801818003,-1.1443466213329363,-4.28547840766027,0.42857142857142855,3.58095162606033,1.5196906887017263,-1.5333578604764049,0.3371560426265063,ineligible,benchmark_only
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-1,20,7,1.46407402291605,-0.20040595740199998,-0.5550610501399825,-2.1864178788497,-3.5457146319654362,-5.128010913255283,0.4,0.5963132801565717,-1.4055533541185465,-4.3706296880511655,0.29454150829300685,not_applicable,
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-2,21,7,5.376562001857001,1.97721551851,3.279568418020042,-0.05213107030834774,0.17359425301530468,-3.0579094977164267,0.47619047619047616,5.295026093997,3.1996550747264556,0.09608418060589234,0.35379452311471854,not_applicable,
2026-08-17-paper-strategy-feasibility,flow-only-benchmark-v1,reference,chronological-block-3,15,7,5.417341400401,1.232195841676,3.3195363065330166,-0.7823248555733575,0.21236016875619315,-3.7661438280067627,0.4,5.615789103046358,3.51403489989573,0.40100951608343516,0.6599003296068932,not_applicable,
2026-08-17-paper-strategy-feasibility,holder-breadth-nonpositive-arm-v1,comparison,all,12,5,-0.08293537969733344,2.5056778614035,-2.071284965641357,0.46581487196157845,-5.016340445324782,-2.5555399830032965,0.5833333333333334,-1.2799529548308335,-3.2444818910297,-6.154255277686065,0.6074755392339601,ineligible,comparison_only
2026-08-17-paper-strategy-feasibility,holder-breadth-nonpositive-arm-v1,comparison,chronological-block-1,5,5,-1.7086049932322003,1.50918458064,-3.664603753866879,-0.5108481925147346,-6.5617426216913675,-3.5028314080291056,0.4,-1.7086049932322003,-3.664603753866879,-6.5617426216913675,0.9825631730881115,not_applicable,
2026-08-17-paper-strategy-feasibility,holder-breadth-nonpositive-arm-v1,comparison,chronological-block-2,6,4,-0.6401116108581667,4.251511130797001,-2.6173733898020886,2.176906059294137,-5.546006100072044,-0.8959072312861027,0.6666666666666666,-3.129261576353875,-5.056989270984434,-7.912254286021402,0.587023546539737,not_applicable,
2026-08-17-paper-strategy-feasibility,holder-breadth-nonpositive-arm-v1,comparison,chronological-block-3,1,1,11.388470074942,11.388470074942,9.171839520450643,9.171839520450643,5.888664364991714,5.888664364991714,1.0,11.388470074942,9.171839520450643,5.888664364991714,1.0,not_applicable,
2026-08-17-paper-strategy-feasibility,holder-breadth-positive-arm-v1,comparison,all,14,6,8.682964564775856,3.1849223837305,6.52017356993682,1.1315424282942743,3.316743189390045,-1.9098331589661899,0.5714285714285714,7.305413762214388,5.170036028346326,2.007208957705051,0.6935752850831405,ineligible,comparison_only
2026-08-17-paper-strategy-feasibility,holder-breadth-positive-arm-v1,comparison,chronological-block-1,5,5,-7.107937367856399,-9.000244215931,-8.956489414236056,-10.811139356033973,-11.694482960318492,-13.493357157769415,0.2,-7.107937367856399,-8.956489414236056,-11.694482960318492,1.0,not_applicable,
